"Gene"	"FC"	"FDR"	"pct.exp"
"168"	"KCND2"	0.5009215787169	1.58625525125903e-79	89.8632341110217
"169"	"KCNH7"	-0.333002487205276	2.51493653574081e-55	55.8594797532851
"170"	"KCNN2"	0.503572452126776	1.15213550136691e-37	77.6347546259051
"171"	"KCTD1"	0.304727274981648	8.13815509658944e-15	63.5559131134352
"172"	"KHDRBS2"	-0.556563281683079	4.52427238070978e-72	87.1279163314562
"173"	"KIAA0368"	0.639056231023414	4.57494977079311e-63	80.1019039957093
"174"	"KIAA1211L"	0.331165828908494	1.25970327599623e-25	83.668543845535
"175"	"KIAA1217"	0.735918108509086	3.18825532006595e-121	89.4073478144275
"176"	"KIF5C"	0.351683480503714	1.6950688218657e-25	80.450522928399
"177"	"KSR2"	0.492784189996288	3.9898166363353e-83	93.2153392330383
"178"	"LARGE"	0.495495758423758	1.20080241004267e-100	96.5406275140788
"179"	"LHFP"	-0.465230491993312	7.20999367965693e-53	35.5323142933762
"180"	"LINGO2"	-0.93956607060691	5.65769828326384e-125	36.0150174309466
"181"	"LMCD1"	0.440851814885589	6.52443401770634e-46	36.9804237060874
"182"	"LMO4"	0.513743504540014	2.33383803010521e-40	72.1373022257978
"183"	"LPP"	0.643538289087261	2.47565693372623e-48	65.9426119603111
"184"	"LRCH1"	0.320056713333982	9.41950339784919e-18	65.8889782783588
"185"	"LRP12"	0.473459395881815	9.96834586698955e-30	65.2185572539555
"186"	"LRRC4C"	-0.694592007583165	2.86293742629327e-112	89.8096004290695
"187"	"LRRC8B"	0.369998765224261	2.69640878075568e-25	70.769643336015
"188"	"LRRN1"	0.500302788639688	1.90802675217354e-32	52.3464735854116
"189"	"LRRTM3"	0.427428404607437	1.6271533395096e-23	55.7790292303567
"190"	"LUZP2"	0.746110915293856	1.66631493292065e-58	75.7307589165996
"191"	"MAGI1"	-0.398059488647521	1.06003996257524e-38	76.6425315097881
"192"	"MAPK10"	0.353985102969291	8.28764372371664e-53	96.6747117189595
"193"	"MARCH1"	0.532334001897496	1.88538911392626e-59	88.9782783588093
"194"	"MBNL2"	0.314148644463484	1.61185089437123e-28	88.1469562885492
"195"	"MCTP1"	0.466482999069417	8.28336813532638e-56	90.3727540895682
"196"	"MEF2A"	-0.348610260049151	1.40170863115301e-28	39.2330383480826
"197"	"MEF2C"	-0.47452449060491	2.56433846925674e-54	33.065164923572
"198"	"MEIS2"	-0.423532809973917	4.02532452305356e-32	34.0842048806651
"199"	"MGAT4C"	0.437205674530894	2.52987795545428e-21	62.8318584070796
"200"	"MICAL2"	0.525783117632321	7.45846106240754e-72	84.8216680075087
"201"	"MMP16"	-0.347913366645679	6.34390174048819e-27	47.0367390721373
"202"	"MOB1B"	0.714432880147327	3.0114678183824e-53	74.2290158219362
"203"	"MSI2"	0.358236454303302	2.83583348728039e-19	55.5913113435237
"204"	"MTMR7"	-0.342159242450307	8.31988969466107e-30	34.7009922231161
"205"	"MYH10"	0.387052968726508	7.15392802659511e-33	76.7497988736927
"206"	"MYO16"	0.376449023381488	1.39808061664273e-19	76.1866452131939
"207"	"MYO1D"	-0.484742118209335	1.68309873546151e-36	48.4312148028962
"208"	"MYO1E"	0.605784759277954	1.04701263669993e-29	57.9511933494234
"209"	"MYRIP"	-0.37375429342703	2.09080149498017e-45	45.4545454545455
"210"	"NAMPT"	0.362762998573018	1.84755333850336e-27	49.2625368731563
"211"	"NCAM1"	-0.435530371139037	7.33840582687009e-47	84.9557522123894
"212"	"NCK2"	0.522690567655966	3.00238548057672e-54	49.3161705551086
"213"	"NCOA2"	0.30102234806587	1.3002571817076e-19	73.4513274336283
"214"	"NDFIP2"	0.30657699638718	4.14665729403225e-14	61.1155805846071
"215"	"NDST3"	0.443118674390617	2.38904645635764e-25	76.4548136229552
"216"	"NECAB1"	-0.854991552988891	3.00543180777464e-106	51.5687851971038
"217"	"NECTIN1"	0.435758579184951	1.33864955411044e-32	37.0608742290158
"218"	"NEDD4L"	0.74224060807261	7.28941517567999e-122	88.9782783588093
"219"	"NEFM"	0.593873626442682	4.31927305912295e-42	59.7747385358005
"220"	"NEK10"	0.577933551610759	4.32787134307123e-77	79.5923840171628
"221"	"NELL1"	0.489513686935639	9.48360339795646e-33	78.4660766961652
"222"	"NELL2"	0.36775206288491	7.38390368118411e-57	95.2534191472245
"223"	"NETO2"	0.741839126933349	3.6854695860971e-51	58.8897827835881
"224"	"NFIB"	0.622119132750808	1.47084981379799e-39	79.0024135156878
"225"	"NFIX"	0.448234257997399	9.47919655062991e-30	64.8431214802896
"226"	"NKAIN3"	-0.501053910402899	3.05099005638593e-41	49.5307052829177
"227"	"NOL4"	-0.317281797238271	4.61039611654988e-31	37.1413247519442
"228"	"NOS1AP"	0.505401841551276	7.40545630943534e-39	75.194422097077
"229"	"NPAS2"	0.30707125064285	4.31043843189634e-14	56.663984982569
"230"	"NPAS4"	0.456208628881698	9.39613053003767e-24	63.2609278626978
"231"	"NPTXR"	-0.32021754869105	6.83639534340103e-22	33.7087691069992
"232"	"NR3C2"	0.576123748245835	2.50499033212575e-59	80.9600429069456
"233"	"NR4A1"	0.378883187715804	2.53921190303007e-18	50.4424778761062
